"tract","population","median_household_income","non_hispanic_white_alone","osm_2020","osm_2023","sdp"
"5001",7077,142158,1201,142,157,320
"5002",5863,152118,1682,173,192,140
"5003",3943,134448,1919,280,303,254
"5004",2743,104779,904,70,81,90
"5005",5377,142208,3126,74,98,131
"5006",5633,114115,2428,157,164,176
"5008",4445,131250,1766,494,507,446
"5009.01",4083,99091,1085,331,341,164
"5009.02",4736,33973,961,30,34,10
"5010",4865,43967,1077,178,184,108
"5011.01",4239,88685,1187,130,132,83
"5011.02",4245,119541,997,50,50,34
"5012",4249,101094,1373,22,49,38
"5013",4026,129044,1783,35,51,49
"5014.01",3029,60648,355,51,60,72
"5014.02",2929,97854,836,15,28,45
"5015.01",4259,69174,266,2,2,14
"5015.02",4246,76477,806,11,13,23
"5016.01",4044,103173,1006,34,38,35
"5016.02",3648,58750,979,33,34,20
"5017",4508,85735,699,68,85,111
"5018",4794,129145,1874,16,18,72
"5019.01",2345,117361,899,50,55,87
"5019.02",3249,150259,1111,26,32,72
"5020.01",4984,101250,1768,57,72,158
"5020.02",5801,99857,1430,33,40,43
"5021.01",5389,117852,2441,14,33,69
"5021.03",4459,64145,1175,24,30,27
"5021.04",2528,103080,894,10,42,82
"5022.02",2812,111176,1692,51,62,144
"5022.03",4277,138935,1597,5,13,37
"5022.04",3109,64563,947,3,4,11
"5023.01",3393,144924,2062,59,67,129
"5023.02",3417,114414,1629,8,12,26
"5024",6861,156122,4475,84,101,154
"5025",6692,193542,3714,30,40,62
"5026.01",3102,137350,1924,41,44,59
"5026.03",3068,187798,1911,28,52,86
"5026.04",3912,103220,2418,47,62,283
"5027.01",5697,122162,2282,66,90,107
"5027.03",3896,136083,1558,26,72,101
"5027.04",4245,181983,1730,14,17,105
"5028",4459,181083,2074,22,32,77
"5029.01",5927,138750,3079,51,62,78
"5029.02",9412,162826,5802,43,58,75
"5029.03",5239,168750,3105,6,10,13
"5029.06",4993,112277,2210,13,23,29
"5029.07",3929,171786,2064,9,16,31
"5029.08",6590,119760,3294,21,32,68
"5029.09",4896,106116,1952,18,30,48
"5029.10",3999,102250,1735,61,76,81
"5030.01",4369,157885,2761,18,20,24
"5030.02",3850,122875,2080,26,53,104
"5030.03",4915,169375,2978,20,28,46
"5031.05",2248,52734,95,166,254,198
"5031.10",4184,69405,127,12,20,50
"5031.11",5620,110875,223,6,6,14
"5031.12",4077,60565,528,27,49,84
"5031.13",4910,86541,604,17,29,55
"5031.16",6687,122833,1897,9,28,63
"5031.17",3088,80066,51,23,37,52
"5031.18",4727,87750,602,19,19,23
"5031.21",5196,58673,484,41,110,231
"5031.22",3547,51081,133,118,166,307
"5031.23",3744,53287,906,4,5,33
"5031.24",5884,94016,778,31,60,59
"5031.25",3566,127768,1527,4,6,7
"5031.26",3778,148854,722,7,23,42
"5031.27",4302,155568,1285,26,43,577
"5032.07",3720,110179,253,2,6,14
"5032.08",3398,125156,133,7,8,9
"5032.10",4520,103028,215,5,9,10
"5032.11",4484,114464,505,3,27,41
"5032.12",4440,104500,197,22,39,35
"5032.13",5197,70833,136,18,18,24
"5032.17",4377,71450,135,10,25,40
"5032.18",4706,61097,208,6,32,29
"5032.19",2871,65143,27,17,15,28
"5032.20",4848,74583,373,9,13,29
"5032.21",2395,43704,121,15,32,36
"5032.22",6029,84958,20,50,53,72
"5033.04",7084,86962,541,84,152,150
"5033.05",5843,82917,236,93,158,282
"5033.06",4120,102344,59,31,50,84
"5033.12",4021,162895,828,0,4,9
"5033.13",4500,171510,652,1,2,7
"5033.15",8857,141875,421,14,36,35
"5033.21",4387,150658,274,37,41,28
"5033.22",4752,99821,344,2,3,4
